Definition ID,Canonical term,Exact operational definition,Scope,Explicit exclusions,Aliases / search terms,Hyper-tag,Object tags,Authority source,Authority effect,Status,Last reviewed,Source URL
DEF-042,Axial cone-entry gate,"Before using |B_S|/(A_S-D_S) as an unstable-slope upper bound, require A_S-D_S>0 with a recorded margin; otherwise compute the exact unstable eigenvector or fail P1 explicitly.",Saddle branch entry in normalized pair chart,Endpoint typing and S_r do not imply A_S>0 or A_S-D_S>0.,axial margin; eigenslope gate; P1 denominator,[[DEF:AXIAL_CONE_ENTRY_GATE]],PRCP; J_S; unstable_eigenvector; cone,GP-AUD-090 exact counterexample,Mandatory failure gate only,ACTIVE,2026-07-21,https://docs.google.com/document/d/1LZkH5mtFUfZRnB3yZG5YFr-y0BqxhzEz02cpxwSO9nw/edit
DEF-043,Field-layer-separated transit and capture,"T_r^(4),H_r^(4) denote degree-four flow events. Exact-field T_r,H_r require a margin-by-margin C^1 perturbation receipt showing the exact field preserves type, branch, cone, strip, transit, and capture inequalities.",PRCP deterministic relation ledger,A degree-four trajectory replay or proof cannot be labeled exact-field transit/capture without the transfer gate.,degree-four event; exact-field event; perturbation transfer,[[DEF:FIELD_LAYER_SEPARATED_TRANSIT_CAPTURE]],PRCP; T4; H4; exact_field; C1_margin,GP-REG-079; GP-AUD-090,Prevents layer promotion; no theorem authority,ACTIVE,2026-07-21,https://docs.google.com/document/d/1LZkH5mtFUfZRnB3yZG5YFr-y0BqxhzEz02cpxwSO9nw/edit
DEF-044,Two-section central transit,The S-side section is X_S=1/2−sigma and the M-side section is X_M=−1/2+sigma. Full transit means arrival at X_M from X_S while remaining in the strip; at X_M only |Y|≤W is guaranteed unless an additional cone invariant is proved.,PRCP T_r event geometry,The S-side cone-exit bound kappa sigma cannot be reused automatically at the M-side exit.,central rectangle; S-side section; M-side section; transit exit,[[DEF:TWO_SECTION_CENTRAL_TRANSIT]],PRCP; sigma; X_S; X_M; W,GP-REG-079; GP-AUD-090,Exact geometric qualification only,ACTIVE,2026-07-21,https://docs.google.com/document/d/1LZkH5mtFUfZRnB3yZG5YFr-y0BqxhzEz02cpxwSO9nw/edit
DEF-045,Margin-specific exact-field transfer budget,"For a fixed degree-four certificate fixture with exact endpoint pin identity R(S)=R(M)=0, a transfer budget is a positive delta_* such that ||F_exact-F_degree4||_{C1(D)}<=delta_* preserves every named endpoint, eigendirection, cone, strip, transit, section, and capture inequality. Passing the budget derivation is distinct from proving exact-field membership.",PRCP degree-four to exact-field transfer,"A degree-four margin receipt, C0-only bound, unverified numerical delta, or general transfer theorem alone does not show the exact field lies within the budget.",C1 transfer threshold; perturbation budget; exact-field membership gate,[[DEF:MARGIN_SPECIFIC_EXACT_FIELD_TRANSFER_BUDGET]],PRCP; exact_field; C1; margins; source_receipt,GP-DER-095-v1.0; GP-DER-045-v1.0; CW-AUD-018-v1.0,Defines a sufficient technical gate only; no probability or theorem authority,ACTIVE-COMPONENT,2026-07-21,https://docs.google.com/document/d/1odklttrcbTsou9nDSZ162xX07Kh70yVHUhRdhbiye5w/edit
DEF-046,Prefilled unresolved technical receipt,"A machine-readable receipt that populates all currently established object, source, parameter, margin, and budget fields while explicitly preserving unavailable decisive evidence as null/unresolved and returning a non-pass terminal state.",Fail-closed technical workflows and handoff between model lines,"A prefill is not a scientific result, independent review, completed execution, or permission to replace missing values by zero, defaults, or inherited claims.",unresolved template; populated skeleton; fail-closed example; handoff receipt,[[DEF:PREFILLED_UNRESOLVED_TECHNICAL_RECEIPT]],schema; null_fields; failure_class; exact_source; outside_review,GP-DATA-098-v1.0; GP-AUD-099-v1.0; GP-SCHEMA-095-v1.0,Workflow and architecture effect only; no mathematical authority,ACTIVE,2026-07-21,https://docs.google.com/document/d/1UyykYTzyWLdo9GYAB2r5HAvBr5yQ3M8CiE9OGlSzEPk/edit
DEF-047,Explicit pin-correcting chart constant,"A deterministic conservative constant C_D obtained by combining the ordinary degree-four Taylor remainder with a constructive two-point cubic Hermite correction restoring value and both gradient components at the pins, using declared full-chart derivative suprema and vector/Jacobian norm conversions.",GP-DER-045 exact-field transfer on a fixed normalized chart,"The constant is not an H5 bound, exact-field membership result, optimal constant, probability estimate, or substitute for source-bound remainder evidence.",Hermite operator norm; interpolation constant; C_D; pin correction,[[DEF:EXPLICIT_PIN_CORRECTING_CHART_CONSTANT]],exact_field; Taylor; Hermite; C1; full_chart; conservative,GP-DER-100-v1.0; GP-DATA-101-v1.0; CW-AUD-018-v1.0,Deterministic transfer-input effect only,ACTIVE-COMPONENT,2026-07-21,https://docs.google.com/document/d/1hKLX5Rp_fj0rA0UMTG58kFGteKnxxbBkyGvLOOTHtV8/edit
DEF-048,Finite-grid corridor evidence,"Evidence that a declared finite collection of points, vertices, or fixtures satisfies a capture classifier. Its scope is exactly the tested set and declared instrument.",Numerical capture-corridor diagnostics,"Does not imply every point of a continuum box, positive capture mass, exact-field capture, r-interval uniformity, or a theorem.",vertex replay; sampled corridor; finite test grid,[[DEF:FINITE_GRID_CORRIDOR_EVIDENCE]],P0.1; grid; capture; continuum; evidence_scope,GP-AUD-103-v1.0; GP-DATA-104-v1.0,Binding scope guard only,ACTIVE,2026-07-22,https://docs.google.com/document/d/1N4CjKgv1AfeKq1l9rqKsO0G9l1UeZhjr1-4PUBTglC4/edit
DEF-049,Certified capture mass,"The determinant-weighted probability mass of a region for which capture has been proved on every point under the identical governing law, branch convention, field layer, and r regime.",P0.1/P0.2 probability lower bounds,"Coordinate-box membership mass, typed mass, finite-grid capture frequency, or Monte Carlo success rate is not certified capture mass without a proved inclusion.",capture lower bound; certified corridor mass; B subset A_r,[[DEF:CERTIFIED_CAPTURE_MASS]],P0.1; Palm_weight; inclusion; exact_field; probability,GP-AUD-103-v1.0; GP-REQ-105-v1.0,Prevents box-mass laundering; no theorem authority,ACTIVE,2026-07-22,https://docs.google.com/document/d/1kNp3vZxyA3kcorgwkdkL50MLwZQ7IiSayMh--aXZIiY/edit
DEF-050,Full-dimensional interval-certified degree-four corridor box,"A positive-width box in every declared finite-jet coordinate for which outward-rounded interval sufficient conditions certify all degree-four typing, branch-entry, cone, strip, transit, section, chart, and capture gates on every point.",P0.1 Route-B finite-dimensional continuum component,"Does not by itself provide a Gaussian/Palm mass lower bound, exact-field transfer, r-interval uniformity, or theorem status.",interval box; full-dimensional corridor; continuum degree-four certificate,[[DEF:FULL_DIMENSIONAL_INTERVAL_D4_CORRIDOR]],P0.1; RouteB; interval; degree4; continuum; capture,GP-DER-106-v1.0; GP-DATA-106-v1.0; GP-AUD-107-v1.0,Deterministic component only,ACTIVE-COMPONENT,2026-07-22,https://docs.google.com/document/d/1ve_dMzQd8QvkPpu55oReGwSRnQRWuNsbLcKWzYStGtI/edit
DEF-049,Interval-certified degree-four corridor box,"A positive-width finite-jet parameter box for which interval sufficient conditions certify every declared degree-four typing, selected-branch cone, strip, transit, section, chart, and capture gate over the entire continuum box.","Fixed field layer, chart, r, box, witness parameters, and implemented gate ledger","Does not imply Gaussian/Palm mass, exact-field capture, exact-torus validity, r-interval uniformity, or a theorem without separate evidence.",Route-B box; interval corridor; continuum degree-four box,[[DEF:INTERVAL_CERTIFIED_DEGREE4_CORRIDOR_BOX]],P0.1; RouteB; interval; degree4; continuum_box; capture,GP-DER-106-v1.0; GP-DATA-106-v1.0; GP-AUD-107-v1.0,Defines the component and its exclusions only; outside review and terminal authority absent,ACTIVE-CANDIDATE,2026-07-22,https://docs.google.com/document/d/1ve_dMzQd8QvkPpu55oReGwSRnQRWuNsbLcKWzYStGtI/edit
DEF-052,Certified positive fixed-r finite-Q4 Palm mass,"For one declared fixed r and the typed finite-Q4 Palm law P_{r,Q4}^{MS}, a full-dimensional box has certified positive mass when the exact nine-jet Gaussian covariance is nondegenerate, the box has positive volume, the quartic endpoint determinant/type weight is uniformly positive on it, and the finite-Q4 normalizer is finite and positive.",Fixed-r finite-dimensional degree-four probability consequence,"Does not provide exact full-field Palm mass, exact endpoint Hessian typing, exact-field capture, a numerical lower bound unless separately certified, r-uniform positivity, P0.1, or theorem status.",qualitative finite-Q4 Palm mass; positive box mass; fixed-r degree-four corridor mass,[[DEF:CERTIFIED_POSITIVE_FIXED_R_FINITE_Q4_PALM_MASS]],P0.1; RouteB; finite_Q4; Palm; fixed_r; degree4; positive_mass,GP-DER-043-v1.0; GP-DER-108-v1.0; GP-AUD-109-v1.0; GP-AUD-112-v1.0,Exact finite-dimensional component only; outside review required for closure,ACTIVE-CANDIDATE-CORRECTED,2026-07-22,https://docs.google.com/document/d/16LrYGWGhU-DsW5vIV5u8BaZ19gCv_KDagpg1qBAkYyI/edit
DEF-051,Fixed-r interval finite-Q4 Palm mass lower bound,"A source-bound lower bound for one declared fixed-r finite-Q4 Palm event obtained by combining a rigorous exact nine-jet Gaussian box-probability lower bound, a uniform quartic determinant/type weight lower bound, and an explicit finite-Q4 Palm normalizer upper bound under the identical coordinate measure.","Fixed-r finite-jet probability component under P_{r,Q4}^{MS}","Does not imply an optimized probability, exact full-field Palm mass, exact-field capture, an r-interval lower bound, uniform c_A, or theorem promotion.",certified finite-Q4 Palm lower bound; rectangle density bound; finite-Q4 normalizer upper bound,[[DEF:FIXED_R_INTERVAL_FINITE_Q4_PALM_MASS_LOWER_BOUND]],P0.1; fixed_r; finite_Q4; exact_nine_jet; Palm; density; weight; normalizer,GP-DER-110-v1.0; GP-DATA-110-v1.0; GP-AUD-111-v1.0; GP-AUD-112-v1.0,Deterministic numerical finite-dimensional component only,ACTIVE-COMPONENT-CORRECTED,2026-07-22,https://docs.google.com/document/d/1aQDmNdn8UZf8i44o5yNcfLOyJ-wEC4inuiVLfCoVnrs/edit
DEF-053,Typed finite-Q4 Palm law,"For fixed r, gamma_r is the exact normalized-periodized Gaussian law of the nine midpoint jets. The finite-Q4 weight W_{r,Q4} is computed from the normalized quartic endpoint Hessians and quartic type indicators, with Z_{r,Q4}=E_gamma[W_{r,Q4}] and dP_{r,Q4}^{MS}=W_{r,Q4} dgamma_r/Z_{r,Q4}.",Finite-dimensional local degree-four probability model,"It is distinct from the exact full-field Palm law, whose endpoint Hessians and type indicators depend on residual field information beyond the nine midpoint jets.",finite-Q4 Palm; quartic Palm; local-model typed Palm,[[DEF:TYPED_FINITE_Q4_PALM_LAW]],P0.1; finite_Q4; nine_jet; quartic_Hessian; Palm; field_layer,GP-DER-043-v1.0; GP-AUD-112-v1.0,Binding object-identity distinction only; no exact-field or theorem authority,ACTIVE,2026-07-22,https://docs.google.com/document/d/1IXo4GyjrI16Z0sI2f9i_KQDNvKZp0PhCeSlLUmbY9RE/edit
DEF-054,Constraint-compatible conditional Gaussian capture-support event,"For a positive-measure finite-constraint set B', an event E consists of fields whose constraint vector lies in B' and whose exact scaled local potential lies in a common robust C2 neighborhood of a continuously chosen constraint-matching target in the C4 support of the corresponding conditional Gaussian law.",Fixed-r exact-field positive-mass proofs,"Does not provide a uniform small-ball probability, numerical mass, r-uniformity, or permit finite-Q4 weights to replace exact endpoint weights.",conditional support event; affine RKHS capture ball; disintegrated Gaussian corridor,[[DEF:CONSTRAINT_COMPATIBLE_CONDITIONAL_CAPTURE_SUPPORT]],P0.1; exact_field; C4; RKHS; disintegration; capture; Palm,GP-DER-112-v1.1; GP-AUD-113-v1.0,Analytic fixed-r component definition only,ACTIVE-CANDIDATE,2026-07-22,https://docs.google.com/document/d/1IKgJpRVd0xs095vgrCrxvc_K47QRyjNCrZkaAkXDvBs/edit
DEF-055,Uniform-r fixed-q degree-four corridor box,"A positive-width box in the physical midpoint jet coordinates, with q contained in a fixed negative interval independent of r, for which a proved q/r monotonicity reduction and outward-rounded intervals certify all repaired degree-four typing, selected-branch cone, strip, transit, section, chart, and capture gates for every r in a declared interval 0<r<=r0.",P0.1 deterministic corridor geometry and candidate nonvanishing-mass architecture,"Does not by itself prove finite-Q4 Palm mass, exact full-field mass, exact-field capture, uniform Gaussian support, a numerical c_A, P0.1, or any theorem.",fixed-q corridor; uniform-r interval box; nonshrinking q-box; strong transverse contraction,[[DEF:UNIFORM_R_FIXED_Q_DEGREE4_CORRIDOR]],P0.1; q; s=q/r; interval; degree4; capture; uniform_r,GP-DER-114-v1.0; GP-DATA-114-v1.1; GP-AUD-115-v1.0,Deterministic component definition and scope guard only,ACTIVE-COMPONENT,2026-07-22,https://docs.google.com/document/d/1Dsr8bJ5LpCu5R0w3pLWYFY5RM1P0xzT1h4kYZAih4b4/edit
DEF-056,Uniform positive finite-Q4 Palm corridor mass,"For a fixed physical-q full-dimensional box B and the typed finite-Q4 Palm law P_{r,Q4}^{MS}, uniform positive mass means there exist r_1>0 and c>0 such that P_{r,Q4}^{MS}(B)>=c for every 0<r<=r_1, proved from a uniform Gaussian density lower bound, a weight lower bound W_{r,Q4}>=r^2 w_0, and a normalizer upper bound Z_{r,Q4}<=r^2 C_Z under the identical coordinate measure.",Finite-dimensional small-r probability layer of P0.1 architecture,"Does not imply exact full-field Palm mass, exact endpoint typing, exact-field adjacency, a numerical exact-field c_A, P0.1, or P0.2.",uniform finite-Q4 corridor mass; fixed-q Palm lower bound; r2 cancellation,[[DEF:UNIFORM_POSITIVE_FINITE_Q4_PALM_CORRIDOR_MASS]],P0.1; finite_Q4; fixed_q; Palm; density; weight; normalizer; uniform_r,GP-DER-116-v1.0; GP-AUD-117-v1.0; GP-DER-043/044; GP-DER-114,Finite-Q4 analytic component and scope guard only,ACTIVE-CANDIDATE,2026-07-22,https://docs.google.com/document/d/1LFhBohVz6gtBSYXPPtApPt1tD2CgsoZMKrneBcAP58E/edit
DEF-057,Exact endpoint-Hessian divided-difference frame,"For the exact six-pin full-field law, define normalized endpoint Hessian coordinates by subtracting the endpoint-gradient secants before division by r: A_M=[f_xx(M)-(f_x(S)-f_x(M))/r]/r and analogously at S and for f_xy using f_y pins; on the pin affine subspace these equal f_xx/r and f_xy/r, while their covariances have removable confluent limits.",Exact full-field Palm determinant weights and normalizer scaling,"Not the midpoint finite-Q4 Hessian frame; does not itself prove branch capture, P0.1, or any numerical coefficient.",pin-adjusted endpoint Hessian; exact divided difference; exact normalizer frame,[[DEF:EXACT_ENDPOINT_HESSIAN_DIVIDED_DIFFERENCE_FRAME]],exact_field; Hessian; pins; divided_difference; Palm; normalizer,GP-DER-118-v1.0; GP-DER-044-reg,Exact-field analytic component candidate; outside review required,ACTIVE-CANDIDATE,2026-07-22,https://docs.google.com/document/d/1xvBOg4WeaHbEXk4uJqGQ-yvhkL1BG4XJ-XSvXZZxS-Y/edit
DEF-058,Uniform exact fixed-q capture event,"For each sufficiently small r, E_r is the exact six-pin full-field event that the exact midpoint jet lies in P01-UNIFORMQ-D4-BOX-001 and the physical fifth-derivative supremum on the shrinking certificate chart satisfies H_{5,r}<=r^{-1}. On E_r, if the GP-DER-045 transfer threshold is met, the exact selected branch is captured by M and exact endpoint weights are bounded below by c r^2.",P0.1 exact full-field numerator lower-bound event,Does not assume independence of jets and H5; does not use finite-Q4 Palm weights; no numerical c_A.,uniform exact capture event; fixed-q plus GT5; E_r,[[DEF:UNIFORM_EXACT_FIXED_Q_CAPTURE_EVENT]],P0.1; exact_field; fixed_q; H5; capture; adjacency; exact_weight,GP-DER-119-v1.0; GP-DER-114; GP-DER-045/046,Candidate theorem event; no canonical authority before review/promotion,ACTIVE-CANDIDATE,2026-07-22,https://docs.google.com/document/d/1Ey625P0qxjCnmbakpDURN3nB_ZN3j4tSji3eyvNZMns/edit
DEF-059,Session context freshness,"A finite-context model session is fresh for an active task only when it can identify and access the current exact revision or frozen review object, disclose its evidence lineage, and adjudicate the decisive checklist. A stale session may be retired and replaced without removing the voting line or altering prior exact votes.","Governance routing, technical reviews, and active attention queues","Context expiry is not a vote, does not cancel a valid exact-revision vote, does not create independent evidence, and does not permit one line to count twice.",stale context; expired session; fresh instance; session retirement; line continuity,[[DEF:SESSION_CONTEXT_FRESHNESS]],governance; context_window; task_handoff; independence; active_queue,OP-GDN-003; OP-PROT-003; OP-PROT-004,Operational routing only; no ballot or mathematical authority,ACTIVE,2026-07-22,
DEF-P01P02-AR,Exact selected-branch adjacency event A_r,"On the exact six-pin C3 field space, require strict maximum/saddle type and nonzero projection of M_r-S_r onto the unstable eigenspace, orient that eigenspace by the projector rule toward M_r, select the positive unstable branch measurably, and set A_r to the Borel event that this branch converges to M_r; set A_r=false outside the strict domain.",P0.1 and P0.2 exact typed-Palm adjacency,Does not mean certificate success; certificate failure is not A_r^c; does not condition the base Palm law; opposite unstable branch excluded.,A_r; exact adjacency; selected branch; M-ward branch; Borel event; branch mark,[[DEF:A_r-EXACT-SELECTED-BRANCH]],exact_field; dynamics; measurability; Palm; adjacency,GP-DER-197-v1.0 / GP-PROT-065,Definition and measurability interface only; no capture or probability conclusion,ACTIVE CANDIDATE DEFINITION / EXTERNAL REVIEW OPEN,2026-07-24,https://docs.google.com/document/d/1hGQVFDZKHMcdG94_OIgVEwipTR6pvKCk_-llHyIq3uQ/edit
