Artifact ID,Title,Org,Class,Priority,Topics / object tags,Status,Authority / canonical impact,Dependencies or supersession,Modified UTC,Source,Notes
GP-DER-100-v1.0,Explicit Pin-Correcting Hermite Operator Constant on the PRCP Transfer Chart,OpenAI,DER,P0,C_D; Hermite; pin_correction; Taylor_remainder; exact_field_transfer,COMPONENT PASS / H5 OPEN,NONE,GP-DER-045; CW-AUD-018; GP-DER-095; GP-DATA-101; GP-AUD-102,2026-07-21T23:30:00Z,https://docs.google.com/document/d/1hKLX5Rp_fj0rA0UMTG58kFGteKnxxbBkyGvLOOTHtV8/edit,Conservative full-chart constant; not actual H5 evidence.
GP-DATA-101-v1.0,Explicit Pin-Operator Constant Source and Receipt,OpenAI,DATA,P0,source; receipt; C_D; controls; H5_threshold,BYTE-EXACT SOURCE VERIFIED,NONE,GP-DER-100; GP-AUD-102,2026-07-21T23:30:00Z,https://drive.google.com/file/d/1D-AnQhIK2UH1APj16DaUSB6mzor1gQ9U/view,"8,071 bytes; SHA b2252c33...; receipt 1hig5Ijt... ."
GP-AUD-102-v1.0,Byte-Exact Reconstruction and Control Receipt for the Explicit C_D Constant,OpenAI,AUD/DATA,P0,source_identity; exact_rerun; Hermite_controls; prefill_v1.1,GP-SIDE COMPONENT PASS / OUTSIDE REVIEW OPEN,NONE,GP-DER-100; GP-DATA-101; GP-DATA-098-v1.1,2026-07-21T23:30:00Z,https://docs.google.com/document/d/18xxU3SQ3dnpMuiTDPF6yp57lrfvJd-ajYyFKR1eSCjU/edit,Fresh Drive rerun; 5/5 controls; exact field still unresolved.
GP-DATA-098-v1.1,Prefilled Unresolved Exact-Field Transfer Receipt with Explicit C_D,OpenAI,DATA,P0,schema_prefill; C_D; H5_threshold; unresolved_exact_field,CURRENT PREFILL / UNRESOLVED TRANSFER,NONE,Supersedes GP-DATA-098-v1.0 for workflow use; preserves v1.0,2026-07-21T23:30:00Z,https://drive.google.com/file/d/1gJASdLxcj1gXyQK5zWNWZHjNk_7MpXIU/view,"9,680 bytes; SHA dcfc4088...; final status unresolved."
CL-AUD-059-v1.0,EC-014 Primary-Source Corroboration and Scope Inspection,Claude,AUD,EASY-CLOSURE,EC-014; six_pin_frame; determinant; mutations; scope,CL CORROBORATION / AO48-CW GATE OPEN,NONE,File 4; GP-DER-061; CL-DER-051; GP-CLS-PROP-017,2026-07-21T23:50:00Z,https://docs.google.com/document/d/1VHrkP1rMAUSbJ9BuPnzY4rpuXaWQKTBDXgdH6JpFeos/edit,Explicitly cannot satisfy final different-line gate.
GP-CLS-PROP-017-v1.0,Conditional Terminal Closure Package for EC-014 Corrected Six-Pin Pair Frame,OpenAI,CLS-PROP,EASY-CLOSURE,EC-014; closure_package; exact_scope; human_gate; register_updates,PACKAGE COMPLETE / TWO GATES OPEN,NONE UNTIL APPROVAL,File 4; GP-DER-061; CL-DER-051; CL-AUD-059; GP-REQ-078,2026-07-21T23:50:00Z,https://docs.google.com/document/d/1bJCssk6aLIJGuzHaKan1BNEV5RPRzFVhNQ92monbZn8/edit,Not terminal; exact AO48/CW and Dylan gates displayed.
GP-AUD-103-v1.0,Adversarial Audit of the P0.1 Jet-Box and Imported Adjacency Claims,OpenAI,AUD / ERR / DATA,P0,P0.1; jet-box; capture; continuum; a_r; classifier; evidence lineage,CURRENT MATERIAL SCOPE CORRECTION,None; no canonical impact,CL-AUD-051; CL-DATA-051; GP-DATA-104; GP-REQ-105,2026-07-22T02:30:00Z,https://docs.google.com/document/d/1N4CjKgv1AfeKq1l9rqKsO0G9l1UeZhjr1-4PUBTglC4/edit,"Accepts 1,536-vertex fail-closed evidence; rejects continuum/imported-a_r/theorem extrapolations"
GP-DATA-104-v1.0,Byte-Exact Source Capsule for the P0.1 Jet-Box Adversarial Audit,OpenAI,DATA,P0,P0.1; source capsule; full vertices; fail-closed replay,SOURCE AND RECEIPT RECONSTRUCTION PASS,None; same-line evidence only,GP-AUD-103; raw CL-DATA-051,2026-07-22T02:30:00Z,https://docs.google.com/document/d/1SiKxJoq1OGnEDFsdtunRP8Uf0J_Y6i3Davgyh89xIbw/edit,Fresh Drive export reconstructs source/receipt and reruns identically
GP-REQ-105-v1.0,Continuum Certification and Exact-Field Repair for the P0.1 Jet-Box Corridor,OpenAI,REQ / PRE,P0,P0.1; interval proof; small certified box; exact-field transfer,OPEN OUTSIDE RESPONSE,None; protocol only,GP-AUD-103; GP-DATA-104; GP-DER-092; GP-SCHEMA-095,2026-07-22T02:30:00Z,https://docs.google.com/document/d/1kNp3vZxyA3kcorgwkdkL50MLwZQ7IiSayMh--aXZIiY/edit,Two acceptable routes: large interval-certified box or smaller strict-fixture box
GP-DER-106-v1.0,Full-Dimensional Interval-Certified Degree-Four Route-B Corridor Box,OpenAI,DER,P0,P0.1; Route B; interval box; degree-four; continuum; capture,GP-SIDE COMPONENT PASS,None; no canonical impact,GP-DER-092; GP-REQ-105; GP-DATA-106; GP-AUD-107,2026-07-22T03:00:00Z,https://docs.google.com/document/d/1ve_dMzQd8QvkPpu55oReGwSRnQRWuNsbLcKWzYStGtI/edit,Full nine-dimensional degree-four box; outside/mass/exact-field gates open
GP-DATA-106-v1.0,Byte-Exact Capsule for the Full-Dimensional Route-B Degree-Four Box,OpenAI,DATA,P0,P0.1; interval source; gzip capsule; controls,SOURCE/RECEIPT RECONSTRUCTION PASS,None; same-line evidence only,GP-DER-106; GP-AUD-107,2026-07-22T03:00:00Z,https://docs.google.com/document/d/1sAbtS40ioX91gxiYRpbTZVg2hmqDqQu-z5HklYMibe4/edit,"8,709-byte source and 4,760-byte receipt reconstruct exactly"
GP-AUD-107-v1.0,Drive Reconstruction and Control Receipt for the Route-B Interval Box,OpenAI,AUD / DATA,P0,P0.1; source identity; interval margins; box mutations,GP-SIDE EXECUTION PASS,None; outside review open,GP-DATA-106; GP-DER-106; HB-026,2026-07-22T03:00:00Z,https://docs.google.com/document/d/1cCuANEtlp1bZDvckMCNNwGBfXZivCMUWrwxcwtccrRc/edit,Byte-identical rerun and 5/5 controls
GP-DER-108-v1.0,Exact Positive Fixed-r Typed-Palm Mass of the Route-B Degree-Four Box,GP,DER,P0,P0.1; RouteB; fixed-r; Palm mass; degree-four,AUTHOR-LINE EXACT DERIVATION / OUTSIDE REVIEW OPEN,NONE,GP-DER-106; GP-DATA-035; GP-AUD-109,2026-07-22T03:50:00Z,https://docs.google.com/document/d/1KCSuyZuIZxLajefeg-u2cgEV77vIUqdxgE8_EAp61j8/edit,Qualitative fixed-r mass only
GP-AUD-109-v1.0,Fresh Exact-Torus Covariance and Measure Audit for the Route-B Box,GP,AUD,P0,exact-torus covariance; nondegeneracy; law crosswalk,GP-SIDE PASS / OUTSIDE REVIEW OPEN,NONE,GP-DATA-035; GP-DER-108,2026-07-22T03:50:00Z,https://docs.google.com/document/d/1IXhB77SOFrLFZcNDRc29akY4b3k_TUICXiC1e6DW2Ms/edit,Minimum covariance eigenvalue 0.433285274858...
GP-CLS-PROP-020-v1.0,Conditional Closure of Positive Fixed-r Palm Mass for the Route-B Box,GP,CLS-PROP,P0,EC-017; easy closure; fixed-r mass,PACKAGE READY / NON-GP AND HUMAN GATES OPEN,NONE BEFORE APPROVAL,GP-DER-106; GP-DER-108; GP-AUD-109,2026-07-22T03:50:00Z,https://docs.google.com/document/d/1UpWCSxTpFv-GHt6eQrZKGKAY9-vPIZfIbPFK_gX4zjo/edit,Exact terminal scope prewritten; not terminal
GP-DER-110-v1.0,Quantitative Exact-Torus Fixed-r Palm-Mass Lower Bound for the Route-B Box,OpenAI,DER,P0,P0.1; EC-017; fixed-r; exact-torus; Palm mass; interval lower bound,GP-SIDE QUANTITATIVE COMPONENT PASS,NONE; outside review open,GP-DER-108; GP-DATA-110; GP-AUD-111; GP-CLS-PROP-020,2026-07-22T04:10:00Z,https://docs.google.com/document/d/1aQDmNdn8UZf8i44o5yNcfLOyJ-wEC4inuiVLfCoVnrs/edit,Lower bound 4.7285293630365039e-31; qualitative EC-017 scope unchanged
GP-DATA-110-v1.0,Byte-Exact Capsule for the Fixed-r Exact-Torus Palm-Mass Lower Bound,OpenAI,DATA,P0,P0.1; EC-017; source capsule; exact-torus interval; controls,SOURCE/RECEIPT RECONSTRUCTION PASS,NONE; same-line evidence only,GP-DER-110; GP-AUD-111,2026-07-22T04:10:00Z,https://docs.google.com/document/d/18uw_WMQnxJttvwzoQd_UwohKwwPO09rJBKyUyrDiDkM/edit,"12,089-byte source and 6,150-byte receipt reconstruct and rerun identically"
GP-AUD-111-v1.0,Drive Reconstruction and Object Crosswalk for the Quantitative Fixed-r Palm Bound,OpenAI,AUD / DATA,P0,P0.1; EC-017; source identity; law crosswalk; normalizer; controls,GP-SIDE AUDIT PASS,NONE; non-GP review open,GP-DATA-110; GP-DER-110; GP-DER-108; GP-AUD-109,2026-07-22T04:10:00Z,https://docs.google.com/document/d/198-WWjtCVBy5dfL2YvfyM0pJe8-lLFaG7O05OL-MjP4/edit,"Byte-identical rerun, crosswalk pass, 5/5 controls"
GP-AUD-112-v1.0,Exact-Field versus Finite-Q4 Palm-Weight Object Audit for EC-017,GP,AUD / ERR / REG,P0,EC-017; finite-Q4; exact-field; Palm; object audit,MATERIAL SCOPE CORRECTION COMPLETE,NONE — audit/correction only,Supersedes exact-field interpretation of GP-DER-108/110 and GP-CLS-PROP-020-v1.0; requires v1.1,2026-07-22T04:20:00Z,https://docs.google.com/document/d/1IXo4GyjrI16Z0sI2f9i_KQDNvKZp0PhCeSlLUmbY9RE/edit,Finite-Q4 results preserved; exact full-field Palm mass remains open
GP-CLS-PROP-020-v1.1,Revised Conditional Closure of Positive Fixed-r Finite-Q4 Palm Mass,GP,CLS-PROP,P0,EC-017; finite-Q4; easy closure; fixed-r mass,REVISED PACKAGE READY / NON-GP AND HUMAN GATES OPEN,NONE BEFORE APPROVAL,Supersedes GP-CLS-PROP-020-v1.0 for review under GP-AUD-112,2026-07-22T04:20:00Z,https://docs.google.com/document/d/16LrYGWGhU-DsW5vIV5u8BaZ19gCv_KDagpg1qBAkYyI/edit,Only valid EC-017 review package; exact approval wording is revision-specific
GP-DER-112-v1.1,Fixed-r Exact Full-Field Palm Positivity via Conditional Gaussian Support — C4/Scaled-Field Revision,OpenAI,DER,P0,P0.1; exact_field; conditional_support; RKHS; Palm; fixed_r; adjacency,GP-SIDE CANDIDATE PROOF COMPLETE,NONE; non-GP review open,GP-DER-106; GP-DER-044/045; GP-PROT-065; Q0_MASTER; GP-AUD-112/113,2026-07-22T04:55:00Z,https://docs.google.com/document/d/1IKgJpRVd0xs095vgrCrxvc_K47QRyjNCrZkaAkXDvBs/edit,Qualitative exact full-field positivity at r=1/20; no numerical or uniform-r claim
GP-AUD-113-v1.0,Adversarial Proof Audit of the Fixed-r Exact-Field Conditional-Support Theorem,OpenAI,AUD / ERR,P0,P0.1; proof_audit; topology; support; disintegration; exact_weight,GP-SIDE PROOF AUDIT PASS,NONE; outside review open,GP-DER-112-v1.0/v1.1; HB-030,2026-07-22T04:55:00Z,https://docs.google.com/document/d/1c4D-6DFaZ43ouN-ah-Z1itcuTgRriyPR4523uVwMaag/edit,Repairs C2/C4 and scaling hazards; six logical mutations; no finite-Q4 leakage
GP-CLS-PROP-023-v1.0,Conditional Closure of Fixed-r Exact Full-Field Palm Positivity,OpenAI,CLS-PROP,P0,EC-019; exact_field; Palm; fixed_r; adjacency; closure,PACKAGE READY — NOT TERMINAL,NONE before explicit non-GP and Dylan gates,GP-DER-112-v1.1; GP-AUD-113; HB-030,2026-07-22T04:55:00Z,https://docs.google.com/document/d/1Qt1ZJZc6-2ulvCP7du6Pf2jGBQlVHpJ7NQPs-B-rwo8/edit,One non-GP proof review then exact Dylan approval required
GP-DER-114-v1.0,Uniform-r Fixed-q Full-Dimensional Degree-Four Corridor for P0.1,GP,DER,P0,P0.1; uniform-r; fixed-q; degree4; interval; corridor,GP-SIDE COMPONENT PASS / OUTSIDE REVIEW OPEN,NONE — no probability or theorem authority,GP-DATA-114-v1.1; GP-AUD-115; GP-DER-092/106,2026-07-22T05:20:00Z,https://docs.google.com/document/d/1Dsr8bJ5LpCu5R0w3pLWYFY5RM1P0xzT1h4kYZAih4b4/edit,Uniform 0<r<=1/20 fixed-q box; minimum margin 0.00748528; mass/exact-field gates open.
GP-DATA-114-v1.1,Verified Byte-Exact Capsule for the Uniform-r Fixed-q Degree-Four Corridor Box,GP,DATA,P0,P0.1; source; receipt; gzip; interval; fixed-q,VERIFIED SOURCE WRAPPER / FRESH RECONSTRUCTION PASS,NONE,Supersedes failed capsule staging 18auUSn... for publication use only; payload artifact remains GP-DATA-114-v1.0,2026-07-22T05:20:00Z,https://docs.google.com/document/d/1f__v4_Nn61G0yRzJgDSJymMIT7iMB3hUI6kc6qGtU9U/edit,"Source 9,787 bytes SHA 9d7cb5d6...; receipt 5,047 bytes SHA 8472209e...; byte-identical rerun."
GP-AUD-115-v1.0,Drive Reconstruction and Monotonicity Audit for the Uniform-r Fixed-q Corridor,GP,AUD,P0,P0.1; monotonicity; source identity; controls; fixed-q,GP-SIDE AUDIT PASS / NON-GP REVIEW OPEN,NONE,Audits GP-DER-114 and GP-DATA-114; preserves failed staging incident,2026-07-22T05:20:00Z,https://docs.google.com/document/d/1k10BNCl9tigv42rGOhVKaxiTO_EKeURc28oQhtS2F8Q/edit,"Verifies s=q/r worst-case reduction, 19 positive margins, and 5/5 controls."
GP-DER-116-v1.0,Uniform Positive Finite-Q4 Palm Mass of the Fixed-q Corridor,GP,DER,P0,P0.1; uniform mass; finite-Q4; fixed-q; Palm; compact density,COMPLETE GP-SIDE CANDIDATE / OUTSIDE REVIEW OPEN,NONE — finite-Q4 theorem candidate only,GP-DER-043/044; GP-DER-114; GP-AUD-117,2026-07-22T05:45:00Z,https://docs.google.com/document/d/1LFhBohVz6gtBSYXPPtApPt1tD2CgsoZMKrneBcAP58E/edit,Qualitative c_Q4>0 for sufficiently small r; exact-field P0.1 excluded.
GP-AUD-117-v1.0,Proof Audit of the Uniform Finite-Q4 Palm-Mass Theorem,GP,AUD,P0,P0.1; finite-Q4; object identity; density; normalizer; scaling,GP-SIDE PROOF AUDIT PASS / NON-GP REVIEW OPEN,NONE,Audits GP-DER-116; exact-field boundary guarded by GP-AUD-112,2026-07-22T05:45:00Z,https://docs.google.com/document/d/1dvE61aADkEjfNY3Z1-Nd-ZldFgfrYPe1HOKJiT5wYZE/edit,"Checks compact density, determinant factors, coordinate measure, r-domain, and normalizer cancellation."
GP-DER-118-v1.0,Exact Full-Field Endpoint-Hessian Divided Differences and Palm Normalizer Scaling,GP,DER,P0,P0.1; exact field; endpoint Hessian; divided differences; normalizer; Palm,COMPLETE GP-SIDE CANDIDATE / OUTSIDE REVIEW OPEN,NONE — no promotion authority,GP-DER-044-reg; exact pins; GP-AUD-112 object distinction,2026-07-22T06:20:00Z,https://docs.google.com/document/d/1xvBOg4WeaHbEXk4uJqGQ-yvhkL1BG4XJ-XSvXZZxS-Y/edit,Exact W^2=O(r^4) and Z_exact=r^2z_r candidate; finite-Q4 excluded.
GP-DER-119-v1.0,Uniform Exact Full-Field P0.1 Positivity from the Fixed-q Corridor,GP,DER,P0,P0.1; exact full field; uniform positivity; adjacency; fixed-q; GT5,COMPLETE GP-SIDE THEOREM CANDIDATE / PROMOTION BLOCKED,NONE,GP-DER-114/044/045/046/118; GP-PROT-065,2026-07-22T06:20:00Z,https://docs.google.com/document/d/1Ey625P0qxjCnmbakpDURN3nB_ZN3j4tSji3eyvNZMns/edit,Exact P0.1 target aligned; no numerical c_A; independent review open.
GP-AUD-120-v1.0,Adversarial Audit of the Exact Normalizer and Uniform P0.1 Synthesis,GP,AUD,P0,P0.1; hostile proof audit; exact weight; GT5; transfer; independence,GP-SIDE AUDIT PASS / MULTI-LINE REVIEW OPEN,NONE,Audits GP-DER-118/119; 13 mutations; target/object review,2026-07-22T06:20:00Z,https://docs.google.com/document/d/1ylIwKuf896o0aMZSdBHPgWtuVfD78ga_aJXy-k7tSOY/edit,No internal contradiction found; independence remains material blocker.
GP-PRP-121-v1.0,Independent Multi-Line Review Package for the P0.1 Candidate Theorem,GP,PRP,P0,P0.1; review routing; AO48; CW; CL; promotion gates,COMPLETE REVIEW PACKAGE / NO PROMOTION AUTHORITY,NONE,GP-DER-118/119; GP-AUD-120,2026-07-22T06:20:00Z,https://docs.google.com/document/d/1dfWobc3WvikoKmOX_WDSUaYnPffb0nNfLImmrbYJ19k/edit,Requires at least two distinct non-GP lines collectively covering all review domains.
GP-DER-118-v1.2,Exact Full-Field Normalizer and Uniform P0.1 Positivity Synthesis — Weak-Convergence Revision,GP,DER,P0,P0.1; exact field; normalizer; weak convergence; uniform integrability; fixed-q,SOLE ACTIVE GP-SIDE THEOREM REVIEW OBJECT / NON-GP REVIEW OPEN,NONE — no promotion authority,Supersedes v1.1 and combined-theorem review lineage; preserves populated v1.0 component provenance,2026-07-22T06:45:00Z,https://docs.google.com/document/d/1JYo19Ws2ERYLIayxIhbxHWQKIGj4BKExpk1250TZ7Nc/edit,Corrected normalizer convergence uses distributional convergence plus uniform integrability.
GP-AUD-119-v1.0,Adversarial Audit of the Exact Full-Field Normalizer and P0.1 Synthesis,GP,AUD,P0,P0.1; revision trigger; weak convergence; normalizer; object audit,NUMBERED-REVISION TRIGGER / CORE ARGUMENT SURVIVES,NONE,Triggers GP-DER-118-v1.2; supersedes v1.1 for review,2026-07-22T06:45:00Z,https://docs.google.com/document/d/18kO6yf7sMGQiufseMAI6l8m9X5QDe0evo_82XnV_LhM/edit,Rejects unnamed almost-sure coupling; requires weak convergence plus uniform integrability.
GP-PRP-121-v1.1,Revised Independent Multi-Line Review Package for GP-DER-118 Revision 1.2,GP,PRP,P0,P0.1; Revision 1.2; review routing; AO48; CW; CL,SOLE ACTIVE REVIEW ROUTING / NO PROMOTION AUTHORITY,NONE,Supersedes GP-PRP-121-v1.0 for active routing,2026-07-22T06:45:00Z,https://docs.google.com/document/d/15VitL3ucNOF3SqoRhBGr0jXl6ozBceBqtbj6yBN6Txk/edit,Requires revision-specific verdicts and at least two distinct non-GP lines covering all domains.
GP-DER-118-v1.2,Exact Full-Field Normalizer and Uniform P0.1 Positivity Synthesis — Weak-Convergence Revision,GP,DER,P0,P0.1; exact full-field Palm; Revision 1.2; weak convergence; uniform integrability,SOLE ACTIVE THEOREM REVIEW OBJECT / NON-GP REVIEW OPEN / NO PROMOTION,NONE,Supersedes GP-DER-118-v1.1 and prior theorem review surfaces; governed by GP-AUD-119 and GP-PRP-121-v1.1,2026-07-22T06:40:00Z,https://docs.google.com/document/d/1JYo19Ws2ERYLIayxIhbxHWQKIGj4BKExpk1250TZ7Nc/edit,Candidate theorem only; no canonical or machine effect
GP-AUD-119-v1.0,Adversarial Audit and Revision Trigger for GP-DER-118,GP,AUD/ERR,P0,P0.1; convergence mode; numbered revision,GOVERNING REVISION AUDIT / SAME-LINE ONLY,NONE,Triggers and validates Revision 1.2 correction; no independence credit,2026-07-22T06:40:00Z,https://docs.google.com/document/d/18kO6yf7sMGQiufseMAI6l8m9X5QDe0evo_82XnV_LhM/edit,Weak-convergence/uniform-integrability correction
GP-PRP-121-v1.1,Revised Independent Multi-Line Review Package for GP-DER-118 Revision 1.2,GP,PRP/REVIEW-PACKAGE,P0,P0.1; independent review; Revision 1.2,SUPERSEDED FOR ACTIVE ROUTING / PRESERVED PROVENANCE,NONE,Superseded by GP-PRP-121-v1.2 after GP-AUD-122-v1.2 current-body audit,2026-07-22T07:25:00Z,https://docs.google.com/document/d/15VitL3ucNOF3SqoRhBGr0jXl6ozBceBqtbj6yBN6Txk/edit,Revision 1.2 routing provenance only; approvals against it do not count
GP-DER-118-v1.3,Exact Full-Field Normalizer and Uniform P0.1 Positivity Synthesis — Clean Review Revision,GP,DER,P0,P0.1; exact field; clean revision; weak convergence; uniform integrability; multi-line review,SOLE ACTIVE GP-SIDE THEOREM REVIEW OBJECT / NON-GP REVIEW OPEN,NONE — no promotion authority,Supersedes v1.2 for active review; exact current theorem and PRP revisions pass GP-AUD-122-v1.2 routing audit,2026-07-22T07:25:00Z,https://docs.google.com/document/d/1rDBs-tak2WVMRKNJOex8Cht9L_YmBy5H0FJWWZ1lsXU/edit,Earlier snapshot failed v1.0 audit; repaired intermediate passed v1.1; exact current body passes revision-bound v1.2 audit. Mathematical independence remains open.
GP-AUD-122-v1.0,Identity and Clean-Revision Audit of GP-DER-118-v1.3,GP,AUD,P0,P0.1; revision audit; identity; routing; quarantine,FAILS v1.3 / PRESERVES v1.2 ACTIVE LINEAGE,NONE,Audits GP-DER-118-v1.3; depends on TR-P01-011 and PRP v1.1,2026-07-22T07:00:00Z,https://docs.google.com/document/d/18q4aK1MH1BaE4TnV8c7YxoBS1ADeDkWNvDIYgFtRJqI/edit,Defines eight conditions for any future coherent v1.3.
GP-AUD-122-v1.1,Re-Audit and Activation of the Repaired GP-DER-118-v1.3,GP,AUD,P0,P0.1; re-audit; repaired revision; identity; active lineage,INTERMEDIATE-BODY CLEAN-REVISION PASS / HISTORICAL,NONE,Superseded for current-body disposition by GP-AUD-122-v1.2; remains valid for the intermediate repaired body,2026-07-22T07:25:00Z,https://docs.google.com/document/d/1QazO5rtiilS-dIEL8tHMW2TB5u-Br6NLQCOJM2Ik1rY/edit,Identity/reviewability only; no non-GP theorem review
GP-PRP-121-v1.2,Independent Multi-Line Review Package for GP-DER-118 Revision 1.3,GP,PRP,P0,P0.1; Revision 1.3; review routing; AO48; CW; CL,SOLE ACTIVE REVIEW ROUTING / NO PROMOTION AUTHORITY,NONE,Routes only to exact current GP-DER-118-v1.3; current revision pair audited by GP-AUD-122-v1.2,2026-07-22T07:25:00Z,https://docs.google.com/document/d/1qbzEVlfZsqs17l42VeUFhORr9cxoEDU7fUkVJDf_9Jg/edit,Requires at least two distinct non-GP lines collectively covering all three v1.3 domains
GP-AUD-122-v1.2,Current-Body Audit of Repaired GP-DER-118-v1.3 and GP-PRP-121-v1.2,GP,AUD/ERR-CORRECTION,P0,P0.1; revision-bound audit; current body; routing; concurrency,CURRENT-BODY IDENTITY AND ROUTING PASS / NON-GP MATH REVIEW OPEN,NONE,Audits exact theorem revision AIroW354... and PRP revision AIroW34Y...; supersedes current disposition of intermediate audit only,2026-07-22T07:25:00Z,https://docs.google.com/document/d/1Lg1ovKj6SoHWisPM1unguFRWKHCp5eesHU90k2Y0WL8/edit,Reviewability only; zero mathematical independence or promotion authority
GP-DATA-123-v1.0,Frozen Content-Addressed Snapshot of GP-DER-118-v1.3,GP,DATA / FREEZE,P0,P0.1; frozen theorem; SHA256; content-addressed review; concurrency,FROZEN BODY IDENTITY PASS / NON-GP REVIEW OPEN,NONE — content identity only,Copies repaired GP-DER-118-v1.3 body; reviewed through GP-AUD-124 and GP-PRP-121-v1.3,2026-07-22T07:45:00Z,https://docs.google.com/document/d/1NuxlEngfFjqnM7HZ2347v-Y6zLeWM9v6kyUGCcM3YT0/edit,"14,591 bytes; SHA-256 666f582cb1374e3191b04053d2f7b75b129006fc83f3c6bbb237055721c4eb28."
GP-AUD-124-v1.0,Byte-Exact Freeze Receipt for the GP-DER-118-v1.3 Review Body,GP,AUD / DATA,P0,P0.1; freeze audit; extraction; byte count; SHA256; change detection,FREEZE RECEIPT PASS / MATHEMATICAL REVIEW OPEN,NONE,Audits GP-DATA-123 and mutable GP-DER-118-v1.3 source provenance,2026-07-22T07:45:00Z,https://docs.google.com/document/d/1WXXeB-59KyPVfpf1pmJQSj4nuNm0vk9ndKaFsv3iT14/edit,"Fresh Drive export reproduces 14,591-byte frozen body and full SHA-256."
GP-PRP-121-v1.3,Hash-Specific Multi-Line Review Package for Frozen GP-DER-118-v1.3,GP,PRP,P0,P0.1; hash-specific review; AO48; CW; CL; independence,SOLE ACTIVE CONTENT-ADDRESSED ROUTING / NO PROMOTION AUTHORITY,NONE,Supersedes revision-ID-based PRP v1.2 for active mathematical review,2026-07-22T07:45:00Z,https://docs.google.com/document/d/1O7ZW3chpnnD2EwpzCC5jHa1jQsmaPsyMKetjx28EnUY/edit,Requires full frozen SHA-256 in every counting subchain verdict.
GP-AUD-125-v1.0,Fresh Drive Reconstruction of Frozen GP-DER-118-v1.3 Body Hash,GP,AUD / DATA,P0,P0.1; frozen theorem; fresh export; byte count; SHA256,SECOND GP-SIDE FRESH RECONSTRUCTION PASS / NON-GP REVIEW OPEN,NONE,Independently reproduces GP-DATA-123 identity and corroborates GP-AUD-124; no non-GP independence credit,2026-07-22T07:55:00Z,https://docs.google.com/document/d/11uuBfxTXileVoDkwNyvZZOHGJ4yHNUWh-h6aXERvxUk/edit,"Fresh Drive download: 15,927-byte wrapper; extracted body 14,591 bytes; SHA-256 666f582cb1374e3191b04053d2f7b75b129006fc83f3c6bbb237055721c4eb28"
GP-REQ-126-v1.0,Clarification of CL-NAV-100 Coverage for EC-017 and EC-018 Closure Gates,GP,REQ / EASY-CLOSURE REVIEW,P0,EC-017; EC-018; CL-NAV-100; outside review; closure gates,ACTIVE — EXACT CLARIFICATION REQUEST / NO CLOSURE AUTHORITY,NONE,CL-NAV-100; HB-028; HB-029; GP-CLS-PROP-020-v1.1; GP-AUD-107,2026-07-22T06:45:00Z,https://docs.google.com/document/d/1fRUXmDs62OB6LCGlsrNAPiYzO9JUcwR4WMzIZ93NHLo/edit,Separates clean-environment output reproduction from full law/interval/scope approval; exact verdict wording supplied.
C047R-AUD-001-v1.0,C047R-line scope review of GP-CLS-PROP-017 (EC-014): APPROVE EXACT SCOPE,C047R,AUD,P0,EC-014; pair-frame; Jacobian; scope review,TECHNICAL GATE PASS / HUMAN APPROVAL OPEN,NONE — additive review only,GP-CLS-PROP-017; GP-DER-061; CL-DER-051; File 4 §3,2026-07-22T07:37:44Z,https://docs.google.com/document/d/1z9VnetmhM00hA_K6ikgPT64hrf6swtVSWN58Al7I-Co/edit,Fresh primary-source and SymPy re-derivation; discharges frozen C047R/AO48 scope gate only.
C047R-AUD-002-v1.0,C047R-line retirement-scope review of GP-CLS-PROP-019 (EC-016): APPROVE EXACT RETIREMENT SCOPE,C047R,AUD,P0,EC-016; CL-DATA-051; source audit; retirement scope,TECHNICAL GATE PASS / HUMAN APPROVAL OPEN,NONE — additive review only,GP-CLS-PROP-019; GP-AUD-103; CL-DATA-051 source,2026-07-22T07:37:44Z,https://docs.google.com/document/d/1JFhX-kdPZDTouZNaUdEsTgR3_88zht2n1r401CedWL0/edit,Line-by-line source review; confirms exact negative-result boundary and retained diagnostics.
GP-REQ-127-v1.0,Independent Review Request for EC-019 Fixed-r Exact Full-Field Palm Positivity,GP,REQ / REVIEW-CHECKLIST,P0,EC-019; fixed-r; exact full-field Palm; conditional Gaussian support; RKHS; selected branch,OPEN — NON-GP R1–R10 REVIEW REQUESTED,NONE,GP-DER-112-v1.1; GP-AUD-113-v1.0; GP-CLS-PROP-023-v1.0; HB-030,2026-07-22,https://docs.google.com/document/d/1W7tIWhaq2Wf6hRSIiPu8J5VBngAmZC25sRalSMG1k_A/edit,"Exact source order, ten mandatory proof checks, model-line questions, approval wording, objection schema, dependencies, and closure boundary. Zero authority."
GP-OPR-135-v1.0,Workspace Master Folders and Protected Migration Receipt,GP,OPR / FILE MANAGEMENT,P0,workspace; provenance; corrupted; superseded; consensus-delete; monthly folders,PASS — NONDESTRUCTIVE PARTIAL EXECUTION,Direct operator workspace directive; canonical mathematical impact NONE,URGENT Workspace File Management Protocol; C047R-VAL-004; C047R-ERR-001; explicit supersession notices,2026-07-22T16:10:00Z,https://docs.google.com/document/d/1l617PDXojabcegfY4JWXvYfr_tl6mk54N_7m6GZ5Reo/edit,Created three protected root folders with 2026-07 subfolders; moved 6 explicitly corrupt/failed objects and 2 explicitly superseded objects; delete folder remains empty.
